Sr. No.,Scrip Code,Name of Company,,
153,533273,OBEROI REALTY LIMITED,,
154,500290,"M.R.F. Ltd.,",,
155,500257,Lupin Ltd,,
156,500483,Tata Communications Limited,,
157,500480,"Cummins India Ltd.,",,
158,532810,Power Finance Corporation Ltd,,
159,540222,Laurus Labs Limited,,
160,533179,Persistent Systems Limited,,
161,524208,Aarti Industries Ltd,,
162,532822,VODAFONE IDEA LIMITED,,
163,532466,Oracle Financial Services Software Limited,,
164,523457,Linde India Limited,,
165,543390,PB Fintech Limited,,
166,543257,Indian Railway Finance Corporation,,
167,532539,UNO Minda Limited,,
168,500093,CG Power and Industrial Solutions Limited,,
169,506401,Deepak Nitrite Limited,,
170,542216,DALMIA BHARAT LIMITED,,
171,500271,Max Financial Services Limited,,
172,506395,Coromandel International Limited,,
173,532477,Union Bank of India,,
174,500027,"Atul Limited.,",,
175,532514,Indraprashtha Gas Ltd.,,
176,500660,GlaxoSmithkline Pharmaceuticals Ltd.,,
177,530517,Relaxo Footwears Ltd.,,
178,535755,Aditya Birla Fashion and Retail Limited,,
179,532725,Solar Industries India Limited,,
180,543463,Vedant Fashions Limited,,
181,532371,Tata Teleservices (Maharashtra) Ltd.,,
182,540691,Aditya Birla Capital Ltd,,
183,532955,REC LIMITED,,
184,500411,Thermax Ltd.,,
185,524494,Ipca Laboratories Ltd.,,
186,533106,Oil India Limited,,
187,509930,"Supreme Industries Ltd.,",,
188,532779,TORRENT POWER LIMITED,,
189,500770,Tata Chemicals Ltd,,
190,539437,IDFC FIRST BANK LIMITED,,
191,500092,CRISIL Ltd.,,
192,532541,COFORGE LIMITED,,
193,505537,Zee Entertainment Enterprises Ltd.,,
194,500043,Bata India Limited,,
195,523395,3M India Ltd.,,
196,533758,APL Apollo Tubes Limited,,
197,539876,Crompton Greaves Consumer Electricals Limited,,
198,500165,Kansai Nerolac Paints,,
199,539268,Syngene International Limited,,
200,540699,Dixon Technologies (India) Limited,,
201,521064,Trident Ltd,,
202,506285,Bayer CropScience Limited.,,
203,543498,Motherson Sumi Wiring India Limited,,
204,532720,Mahindra & Mahindra Financial Services Limited,,
205,542920,SUMITOMO CHEMICAL INDIA LIMITED,,
206,500495,Escorts Kubota Limited,,
207,532754,GMR Infrastructure Limited,,
208,531531,Hatsun Agro Products Ltd.,,
209,524200,"Vinati Organics Ltd.,",,
210,500238,Whirlpool of India Ltd,,
211,540755,General Insurance Corporation of India,,
212,500469,Federal Bank Ltd.,,
213,532889,K.P.R. Mill Ltd.,,
214,503100,"The Phoenix Mills Ltd.,",,
215,531162,Emami Ltd,,
216,532814,Indian Bank,,
217,524000,POONAWALLA FINCORP LIMITED,,
218,543330,Devyani International Limited,,
219,500253,Lic Housing Finance Ltd.,,
220,506076,Grindwell Norton Ltd.,,
221,539524,Dr. Lal Pathlabs Limited,,
222,532843,Fortis Healthcare Ltd,,
223,500680,"Pfizer Ltd.,",,
224,532683,AIA Engineering Ltd.,,
225,532504,Navin Fluorine International Limited,,
226,532149,Bank of India,,
227,543318,Clean Science and Technology Limited,,
228,533519,L&T FINANCE HOLDINGS LIMITED,,
229,540767,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,,
230,532644,J.K. CEMENT LTD,,
231,540153,Endurance Technologies Limited,,
232,531500,Rajesh Exports Ltd.,,
233,500472,SKF India Ltd.,,
234,532733,SUN TV NETWORK LIMITED,,
235,533274,Prestige Estates Projects Limited,,
236,522113,Timken India Ltd,,
237,500103,"Bharat Heavy Electricals Ltd.,",,
238,541988,AAVAS Financiers Limited,,
239,526612,Blue Dart Express Ltd.,,
240,532234,"National Aluminium Co. Ltd.,",,
241,540750,Indian Energy Exchange Limited,,
242,523367,DCM Shriram Limited,,
243,500260,The Ramco Cements Limited,,
244,500403,"Sundram Fasteners Ltd.,",,
245,541179,ICICI Securities Limited,,
246,507815,Gillette India Ltd.,,
247,543426,Metro Brands Limited,,
248,500233,Kajaria Ceramics Ltd,,
249,540769,The New India Assurance Company Limited,,
250,532790,TANLA PLATFORMS LIMITED,,
251,532885,Central Bank of India,,
252,532331,Ajanta Pharma Ltd.,,
253,500674,Sanofi India Ltd,,
254,500164,Godrej Industries Ltd.,,
255,500085,Chambal Fertilisers & Chemicals Ltd,,
256,540203,Sheela Foam Limited,,
257,543335,Aptus Value Housing Finance India Limited,,
258,533023,ZF Commercial Vehicle Control Systems India Limited,,
259,542752,Affle (India) Limited,,
260,541770,CreditAccess Grameen Ltd.,,
261,542651,KPIT Technologies Ltd,,
262,506767,"Alkyl Amines Chemicals Ltd.,",,
263,541557,Fine Organic Industries Limited,,
264,513375,"Carborundum Universal Ltd.,",,
265,533573,ALEMBIC PHARMACEUTICALS LIMITED,,
266,543227,Happiest Minds Technologies Limited,,
267,542772,IIFL Wealth Management Limited,,
268,532702,Gujarat State Petronet Ltd.,,
269,543187,HITACHI ENERGY INDIA LIMITED,,
270,532505,UCO Bank,,
271,539551,Narayana Hrudayalaya Limited,,
272,532947,IRB Infrastructure Developers Limited,,
273,542726,IndiaMART InterMESH Limited,,
274,543374,Aditya Birla Sun Life AMC Limited,,
275,532548,Century Plyboards (India) Ltd.,,
276,543317,G R Infraprojects Limited,,
277,524816,Natco Pharma Ltd.,,
278,500877,Apollo Tyres Ltd,,
279,541143,Bharat Dynamics Limited,,
280,543064,SUVEN PHARMACEUTICALS LIMITED,,
281,500086,"Exide Industries Ltd.,",,
282,506943,J.B. Chemicals & Pharmaceuticals Lt,,
283,540680,KIOCL Limited,,
284,532636,IIFL FINANCE LIMITED ,,
285,500109,Mangalore Refinery & Petrochemicals,,
286,500031,"Bajaj Electricals Ltd.,",,
287,532892,Motilal Oswal Financial Services Limited,,
288,500042,BASF India Ltd,,
289,515030,Asahi India Glass Ltd.,,
290,531595,Capri Global Capital Limited,,
291,504882,National Standard (India) Limited,,
292,543334,Nuvoco Vistas Corporation Limited,,
293,532497,Radico Khaitan Ltd.,,
294,504973,CHOLAMANDALAM FINANCIAL HOLDINGS LIMITED,,
295,543235,ANGEL ONE LIMITED,,
296,517506,TTK Prestige Ltd.,,
297,543232,Computer Age Management Services Limited,,
298,520111,Ratnamani Metals & Tubes Ltd,,
299,532296,Glenmark Pharmaceuticals ltd,,
300,532525,Bank of maharashtra,,
301,532498,Shriram-City Union Finance Ltd.,,
302,543523,Campus Activewear Limited,,
303,522074,"Elgi Equipments Ltd.,",,
304,532689,PVR Ltd.,,
305,521070,Alok Industries Ltd.,,
306,533206,SJVN LIMITED,,
307,500670,Gujarat Narmada Valley Fert.Co.Ltd,,
308,517569,KEI Industries Ltd.,,
309,532805,Redington (India) ltd.,,
310,532929,Brigade Enterprises Limited,,
311,532400,BIRLASOFT LIMITED,,
